Symbol,Company,Sector,Industry,Price,PE,PB,ROE %,Debt/Equity,Profit Margin %,Revenue CAGR %,Net Income CAGR %,Margin Trend,Blended Fair Value,Est. Upside %,Valuation Models Used,Score,Rating,Valuation Pillar,Profitability Pillar,Stability Pillar,Growth Pillar,Upside Pillar,Strengths,PE Percentile (vs Sector),ROE Percentile (vs Sector),Score Rank (vs Sector)
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1700.0,29.039972,4.0816817,0.0,64.051,32.43,22.9,34.1,stable,1481.93,-12.8,2,49,🟡 HOLD,5,11,8,22,0,"High net margin (32.4%), Manageable debt level, Strong revenue CAGR (22.9%), Strong profit CAGR (34.1%)",27.77777777777778,22.972972972972975,13.0
IRB,IRB Infrastructure Developers Limited,Industrials,Infrastructure Operations,20.09,25.75641,1.1364409,0.0,95.6,15.48,0.0,5.7,contracting,53.05,164.1,1,49,🟡 HOLD,12,11,3,5,0,"Trading near/below book value, High net margin (15.5%), Appears overvalued vs blended intrinsic estimate (~-12%)",25.0,22.972972972972975,13.0
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,240.2,7.2920465,0.81285954,12.7,42.548,6.25,1.7,4.1,expanding,455.84,89.8,2,49,🟡 HOLD,15,4,8,10,15,"Trading near/below book value, Manageable debt level, Margins expanding, Significant estimated undervaluation (~105%)",28.57142857142857,100.0,4.0
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,7690.5,102.96559,17.456549,19.13,1.547,21.35,15.4,18.0,expanding,1963.61,-74.5,2,49,🟡 HOLD,0,16,8,25,0,"Strong ROE (19.1%), High net margin (21.3%), High leverage, Strong liquidity position",91.66666666666666,83.78378378378379,13.0
NBCC,NBCC (India) Limited,Industrials,Engineering & Construction,96.0,35.955055,8.629213,25.23,0.008,5.46,13.7,39.2,stable,63.04,-34.3,2,49,🟡 HOLD,0,9,15,20,0,"Excellent ROE (25.2%), Very low debt, Healthy revenue CAGR (13.7%), Strong profit CAGR (39.2%)",47.22222222222222,91.8918918918919,13.0
IEX,Indian Energy Exchange Limited,Financial Services,Capital Markets,129.59,22.735088,8.499377,0.0,0.818,66.22,15.4,17.2,stable,88.36,-31.8,2,48,🟡 HOLD,5,11,10,22,0,"High net margin (66.2%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (15.4%), Strong profit CAGR (17.2%)",50.0,26.136363636363637,23.0
WELCORP,Welspun Corp Limited,Basic Materials,Steel,1788.1,20.43076,5.1518826,0.0,25.042,13.35,19.5,98.4,expanding,1315.03,-26.5,2,48,🟡 HOLD,5,6,12,22,0,"Healthy net margin (13.3%), Very low debt, Strong revenue CAGR (19.5%), Strong profit CAGR (98.4%)",35.294117647058826,35.714285714285715,11.0
BERGEPAINT,Berger Paints India Limited,Basic Materials,Specialty Chemicals,545.2,56.438927,9.191605,17.23,9.165,9.48,4.2,9.5,stable,180.97,-66.8,2,48,🟡 HOLD,0,13,20,15,0,"Strong ROE (17.2%), Healthy net margin (9.5%), Very low debt, Strong liquidity position",85.29411764705883,91.42857142857143,11.0
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,390.0,46.31829,11.884084,0.0,0.273,21.4,16.6,26.6,expanding,199.36,-48.9,1,48,🟡 HOLD,0,11,12,25,0,"High net margin (21.4%), Very low debt, Strong revenue CAGR (16.6%), Strong profit CAGR (26.6%)",61.111111111111114,22.972972972972975,17.0
DLF,DLF Limited,Real Estate,Real Estate - Development,649.1,36.161556,3.5333247,10.1,0.673,65.79,11.3,29.4,contracting,528.34,-18.6,2,48,🟡 HOLD,9,11,8,15,0,"Attractive PEG ratio, High net margin (65.8%), Manageable debt level, Healthy revenue CAGR (11.3%)",100.0,100.0,1.0
